Pos,Expected_value,Observed_value,O-E_square/expected
M,125.32000000000001,150.0,4.860376635812317
D,115.72,19.0,80.83959903214657
F,79.75999999999999,178.0,121.0017251755266
GK,44.6,8.0,30.03497757847534
M-F,20.119999999999997,42.0,23.793956262425457
D-M,14.2,3.0,8.833802816901407
D-F,0.24,0.0,0.24
