Pos,Expected_value,Observed_value,O-E_square/expected
M,250.64000000000001,304.96,11.772511969358426
D,231.44,91.03999999999999,85.1717939854822
F,159.51999999999998,299.04,122.02752256770319
GK,89.2,24.959999999999997,46.26432286995517
M-F,40.239999999999995,70.96000000000001,23.452246520874773
D-M,28.4,8.959999999999999,13.306816901408448
D-F,0.48,0.0,0.48
